line_code	product_count	fiscal_supplier_count	products_with_stock	products_without_stock	stock_presence_pct	lifecycle_status	item_role	portal_import_rule	functional_meaning	approved_by	approval_event_id	notes	evidence_source	approval_status
M0	2780181	3771	10107	2770074	0.3635	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
RR	438704	995	556	438148	0.1267	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
S0	277585	6836	1878	275707	0.6765	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SA	26740	1799	119	26621	0.4450	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
F2	21634	1762	53	21581	0.2450	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
HC	20691	459	85	20606	0.4108	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
GC	17771	345	51	17720	0.2870	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
NU	17119	608	39	17080	0.2278	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
FF	13419	497	71	13348	0.5291	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CC	11201	271	38	11163	0.3393	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
MR	10951	400	58	10893	0.5296	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
FN	5554	704	24	5530	0.4321	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
RT	4924	397	73	4851	1.4825	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
TM	4698	158	20	4678	0.4257	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
R1	4325	371	22	4303	0.5087	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
OC	3378	17	16	3362	0.4737	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
P7	2985	43	7	2978	0.2345	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
L9	2286	152	6	2280	0.2625	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
EC	2276	459	10	2266	0.4394	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
HM	1788	129	5	1783	0.2796	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
L4	1055	4	2	1053	0.1896	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SG	1006	152	6	1000	0.5964	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
E3	989	141	2	987	0.2022	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
GA	741	71	2	739	0.2699	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
CE	723	95	2	721	0.2766	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
AA	687	85	3	684	0.4367	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
R8	595	131	3	592	0.5042	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
SB	584	108	5	579	0.8562	pending_functional_review	internal_unknown	pending_source					portal_fornecedor_dados_mestres_02_perfil_linha_estoque.tsv	pending
